channel,floorid,mac_address,roomid,signal_strength,source,ssid,timestamp
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.259,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-71.4317,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.259,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-71.4317,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-71.4317,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.259,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.259,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-71.4317,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.259,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-71.4317,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.259,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-71.4317,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.259,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,55.0,B2:D1:05:BC:12:16,214.0,-77.22,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.259,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,55.0,B2:D1:05:BC:12:16,214.0,-77.22,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.259,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,55.0,B2:D1:05:BC:12:16,214.0,-77.22,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,55.0,B2:D1:05:BC:12:16,214.0,-77.22,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.259,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.259,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-72.0194,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,55.0,B2:D1:05:BC:12:16,214.0,-59.007000000000005,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-72.0194,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-72.0194,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,55.0,B2:D1:05:BC:12:16,214.0,-59.007000000000005,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-72.0194,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,55.0,B2:D1:05:BC:12:16,214.0,-59.007000000000005,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-72.0194,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-72.0194,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,55.0,B2:D1:05:BC:12:16,214.0,-59.007000000000005,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,55.0,B2:D1:05:BC:12:16,214.0,-59.007000000000005,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-72.0194,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,55.0,B2:D1:05:BC:12:16,214.0,-59.007000000000005,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.127,cap1,Realme 6 Pro,2023-12-13 16:21:03
2422.0,56.0,B2:D1:05:BC:12:16,214.0,-70.193,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.127,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.127,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-70.0604,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.127,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-70.0604,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.127,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-77.75019999999999,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.127,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-71.2358,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.127,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-71.2358,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.127,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-71.2358,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.127,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-71.2358,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.127,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-71.2358,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.127,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-77.55739999999999,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.127,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.127,cap1,Realme 6 Pro,2023-12-13 16:21:03
2422.0,56.0,B2:D1:05:BC:12:16,214.0,-70.8028,cap2,Redmi Note 11,2023-12-13 16:21:03
2422.0,56.0,B2:D1:05:BC:12:16,214.0,-70.8028,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.127,cap1,Realme 6 Pro,2023-12-13 16:21:03
2422.0,56.0,B2:D1:05:BC:12:16,214.0,-70.8028,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.127,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.127,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-77.702,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-77.702,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.127,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-77.702,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.079,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-77.702,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.079,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-77.55739999999999,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.079,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.079,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-77.55739999999999,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.079,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-77.55739999999999,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.079,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-77.75019999999999,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-77.75019999999999,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.079,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-77.75019999999999,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.079,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-60.139,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-77.75019999999999,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-60.139,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-70.6481,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-60.139,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-70.6481,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-77.6056,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-59.899,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-59.899,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-71.4317,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-59.899,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-71.4317,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-59.899,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-71.4317,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-71.4317,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-59.899,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-72.0194,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-59.899,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-72.0194,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-59.899,cap1,Realme 6 Pro,2023-12-13 16:21:03
2422.0,56.0,B2:D1:05:BC:12:16,214.0,-64.5914,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-72.0194,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-77.79839999999999,cap2,Redmi Note 11,2023-12-13 16:21:03
2422.0,56.0,B2:D1:05:BC:12:16,214.0,-64.5914,cap1,Realme 6 Pro,2023-12-13 16:21:03
2422.0,56.0,B2:D1:05:BC:12:16,214.0,-64.5914,cap1,Realme 6 Pro,2023-12-13 16:21:03
2422.0,56.0,B2:D1:05:BC:12:16,214.0,-71.7175,cap2,Redmi Note 11,2023-12-13 16:21:03
2422.0,56.0,B2:D1:05:BC:12:16,214.0,-64.5136,cap1,Realme 6 Pro,2023-12-13 16:21:03
2422.0,56.0,B2:D1:05:BC:12:16,214.0,-71.7175,cap2,Redmi Note 11,2023-12-13 16:21:03
2422.0,56.0,B2:D1:05:BC:12:16,214.0,-71.7175,cap2,Redmi Note 11,2023-12-13 16:21:03
2422.0,56.0,B2:D1:05:BC:12:16,214.0,-64.5136,cap1,Realme 6 Pro,2023-12-13 16:21:03
2422.0,56.0,B2:D1:05:BC:12:16,214.0,-71.7175,cap2,Redmi Note 11,2023-12-13 16:21:03
2422.0,56.0,B2:D1:05:BC:12:16,214.0,-64.5136,cap1,Realme 6 Pro,2023-12-13 16:21:03
2422.0,56.0,B2:D1:05:BC:12:16,214.0,-71.7175,cap2,Redmi Note 11,2023-12-13 16:21:03
2422.0,56.0,B2:D1:05:BC:12:16,214.0,-64.5136,cap1,Realme 6 Pro,2023-12-13 16:21:03
2422.0,56.0,B2:D1:05:BC:12:16,214.0,-64.5136,cap1,Realme 6 Pro,2023-12-13 16:21:03
2422.0,56.0,B2:D1:05:BC:12:16,214.0,-71.7175,cap2,Redmi Note 11,2023-12-13 16:21:03
2422.0,56.0,B2:D1:05:BC:12:16,214.0,-69.2783,cap2,Redmi Note 11,2023-12-13 16:21:03
2422.0,56.0,B2:D1:05:BC:12:16,214.0,-64.5136,cap1,Realme 6 Pro,2023-12-13 16:21:03
2422.0,56.0,B2:D1:05:BC:12:16,214.0,-69.2783,cap2,Redmi Note 11,2023-12-13 16:21:03
2422.0,56.0,B2:D1:05:BC:12:16,214.0,-64.5136,cap1,Realme 6 Pro,2023-12-13 16:21:03
2422.0,56.0,B2:D1:05:BC:12:16,214.0,-64.12459999999999,cap1,Realme 6 Pro,2023-12-13 16:21:03
2422.0,56.0,B2:D1:05:BC:12:16,214.0,-69.2783,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-77.8466,cap2,Redmi Note 11,2023-12-13 16:21:03
2422.0,56.0,B2:D1:05:BC:12:16,214.0,-64.12459999999999,cap1,Realme 6 Pro,2023-12-13 16:21:03
2422.0,56.0,B2:D1:05:BC:12:16,214.0,-64.12459999999999,cap1,Realme 6 Pro,2023-12-13 16:21:03
2422.0,56.0,B2:D1:05:BC:12:16,214.0,-72.0224,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-60.299,cap1,Realme 6 Pro,2023-12-13 16:21:03
2422.0,56.0,B2:D1:05:BC:12:16,214.0,-72.0224,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-60.299,cap1,Realme 6 Pro,2023-12-13 16:21:03
2422.0,56.0,B2:D1:05:BC:12:16,214.0,-72.0224,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-60.299,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-69.0809,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-69.0809,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.05500000000001,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.05500000000001,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-69.0809,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.05500000000001,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-77.79839999999999,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.05500000000001,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-77.79839999999999,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.05500000000001,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-77.79839999999999,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.05500000000001,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.05500000000001,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-70.6481,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,56.0,B2:D1:05:BC:12:16,214.0,-70.6481,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,56.0,B2:D1:05:BC:12:16,214.0,-59.05500000000001,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,57.0,B2:D1:05:BC:12:16,214.0,-59.127,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,57.0,B2:D1:05:BC:12:16,214.0,-70.4522,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,57.0,B2:D1:05:BC:12:16,214.0,-59.127,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,57.0,B2:D1:05:BC:12:16,214.0,-78.0394,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,57.0,B2:D1:05:BC:12:16,214.0,-59.859,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,57.0,B2:D1:05:BC:12:16,214.0,-59.859,cap1,Realme 6 Pro,2023-12-13 16:21:03
2422.0,57.0,B2:D1:05:BC:12:16,214.0,-68.0587,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,57.0,B2:D1:05:BC:12:16,214.0,-59.859,cap1,Realme 6 Pro,2023-12-13 16:21:03
2422.0,57.0,B2:D1:05:BC:12:16,214.0,-68.0587,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,57.0,B2:D1:05:BC:12:16,214.0,-59.859,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,57.0,B2:D1:05:BC:12:16,214.0,-71.8235,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,57.0,B2:D1:05:BC:12:16,214.0,-59.859,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,57.0,B2:D1:05:BC:12:16,214.0,-71.8235,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,57.0,B2:D1:05:BC:12:16,214.0,-60.019000000000005,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,57.0,B2:D1:05:BC:12:16,214.0,-71.8235,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,57.0,B2:D1:05:BC:12:16,214.0,-60.019000000000005,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,57.0,B2:D1:05:BC:12:16,214.0,-69.0809,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,57.0,B2:D1:05:BC:12:16,214.0,-59.079,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,57.0,B2:D1:05:BC:12:16,214.0,-69.0809,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,57.0,B2:D1:05:BC:12:16,214.0,-59.079,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,57.0,B2:D1:05:BC:12:16,214.0,-69.0809,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,57.0,B2:D1:05:BC:12:16,214.0,-59.079,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,57.0,B2:D1:05:BC:12:16,214.0,-77.8466,cap2,Redmi Note 11,2023-12-13 16:21:03
